Date,Channel,Chats_Handled,Avg_Response_Time (sec),Resolved (%),Satisfaction (1-5)
10/1/2025,Slack,101,86.6,91.8,3.9
10/1/2025,Web,132,27,85.6,4.1
10/1/2025,Email,149,72.9,90,4
10/2/2025,Slack,79,34.9,79.2,4.2
10/2/2025,Web,70,63.2,89.1,3.3
10/2/2025,Email,141,147.6,80.4,4.2
10/3/2025,Slack,111,75,79.6,5
10/3/2025,Web,52,80.2,90.6,4.1
10/3/2025,Email,122,65.9,96.8,3.8
10/4/2025,Slack,133,36.9,90.7,4.1
10/4/2025,Web,93,54.7,75.8,3.9
10/4/2025,Email,53,88.1,87,4.1
10/5/2025,Slack,53,32.9,97.3,4.3
10/5/2025,Web,97,42.9,88.1,4.3
10/5/2025,Email,111,89.3,83.9,4.2
10/6/2025,Slack,75,87.6,89,4
10/6/2025,Web,90,40.7,78.8,4
10/6/2025,Email,50,77.9,75.1,3.9
10/7/2025,Slack,60,33.9,91.4,4.3
10/7/2025,Web,90,84,94.6,4.4
10/7/2025,Email,61,89.8,76.5,3.7
10/8/2025,Slack,148,61.4,81.3,3.8
10/8/2025,Web,84,53.1,77.8,4.3
10/8/2025,Email,139,81.2,80.9,4.2
10/9/2025,Slack,76,56.6,84.8,4.2
10/9/2025,Web,101,59.4,91,3.9
10/9/2025,Email,72,114.4,87.4,4.5
10/10/2025,Slack,77,85.1,93.6,4.4
10/10/2025,Web,106,27.4,85.5,3.9
10/10/2025,Email,111,108.5,93.6,3.6
10/11/2025,Slack,141,44.9,95.9,4.5
10/11/2025,Web,126,80.3,75.2,3.6
10/11/2025,Email,121,108.1,86.2,3.7
10/12/2025,Slack,73,86,82.4,4.5
10/12/2025,Web,145,59.1,84.3,4
10/12/2025,Email,61,82.7,86.4,4
10/13/2025,Slack,105,22.6,89,4
10/13/2025,Web,145,83.6,80.5,4
10/13/2025,Email,51,107.8,85.3,4.6
10/14/2025,Slack,104,73.3,80.5,4.6
10/14/2025,Web,87,45.7,89.5,4.2
10/14/2025,Email,65,135.2,82.4,4.7
10/15/2025,Slack,119,68.7,94.7,3.9
10/15/2025,Web,139,55.8,80.2,3.8
10/15/2025,Email,145,68.7,96.6,4.1
10/16/2025,Slack,50,67.3,91.9,3.5
10/16/2025,Web,99,84.7,95.2,4.2
10/16/2025,Email,139,148.4,86.9,3.6
10/17/2025,Slack,51,89.7,97.2,4.5
10/17/2025,Web,58,39.5,91.1,4
10/17/2025,Email,129,140.7,95.4,4.2
10/18/2025,Slack,124,85.5,93.1,4.6
10/18/2025,Web,133,60.6,83.6,3.7
10/18/2025,Email,115,122.3,90,3.7
10/19/2025,Slack,90,32.3,75.4,3.8
10/19/2025,Web,57,79.4,90.1,4
10/19/2025,Email,82,108.8,86.7,3.6
10/20/2025,Slack,79,88.1,84,4.4
10/20/2025,Web,103,83.4,85,4.4
10/20/2025,Email,113,137.8,80.3,3.6
10/21/2025,Slack,97,39.7,75.6,3.9
10/21/2025,Web,141,52.9,81.4,4.1
10/21/2025,Email,55,93.3,75.4,4
10/22/2025,Slack,102,60.1,97.5,4.4
10/22/2025,Web,112,41.4,79.4,4
10/22/2025,Email,67,110.1,96.5,3.5
10/23/2025,Slack,107,85.1,76.6,4.4
10/23/2025,Web,72,29.8,86.9,3.7
10/23/2025,Email,51,89,94.5,4.1
10/24/2025,Slack,88,40.6,93.6,4
10/24/2025,Web,148,37.9,89.1,3.6
10/24/2025,Email,57,123.2,93.3,4.1
10/25/2025,Slack,125,82.1,75.6,3.7
10/25/2025,Web,112,22.5,85.7,4.6
10/25/2025,Email,112,148.4,94.3,3.9
10/26/2025,Slack,91,77.6,83.3,4.4
10/26/2025,Web,109,42.9,94,4.4
10/26/2025,Email,145,107.8,87.4,4
10/27/2025,Slack,104,29.7,78.1,4.2
10/27/2025,Web,68,50.7,76.8,3.9
10/27/2025,Email,139,146.6,94.2,3.8
10/28/2025,Slack,107,84.1,85.2,4.7
10/28/2025,Web,145,58.4,91.4,3.6
10/28/2025,Email,65,106.5,90.1,4.3
10/29/2025,Slack,118,62.8,84.7,4
10/29/2025,Web,135,21,77.7,3.6
10/29/2025,Email,118,68.5,82.2,3.8
10/30/2025,Slack,143,65.5,76.1,4.5
10/30/2025,Web,118,82.1,81,5
10/30/2025,Email,53,115.4,96.7,4
